ocorrencias,capital,demacro,interior,total,mes,ano
TENTATIVA DE HOMICÍDIO,1,3,22,26,6,2018
LESÃO CORPORAL DOLOSA,813,712,2386,3911,6,2018
MAUS TRATOS,2,6,28,36,6,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,196,151,517,864,6,2018
CONSTRANGIMENTO ILEGAL,1,1,2,4,6,2018
AMEAÇA,745,680,2795,4220,6,2018
INVASÃO DE DOMICÍLIO,5,1,17,23,6,2018
DANO,3,13,66,82,6,2018
ESTUPRO CONSUMADO,10,11,19,40,6,2018
ESTUPRO TENTADO,2,0,4,6,6,2018
ESTUPRO DE VULNERÁVEL,7,4,30,41,6,2018
OUTROS C/C/ DIGNIDADE SEXUAL,2,2,5,9,6,2018
HOMICÍDIO DOLOSO,0,6,4,10,5,2018
HOMICÍDIO CULPOSO,0,0,0,0,5,2018
TENTATIVA DE HOMICÍDIO,7,7,14,28,5,2018
LESÃO CORPORAL DOLOSA,794,737,2565,4096,5,2018
MAUS TRATOS,5,6,26,37,5,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,229,185,599,1013,5,2018
CONSTRANGIMENTO ILEGAL,5,0,12,17,5,2018
AMEAÇA,735,773,3272,4780,5,2018
INVASÃO DE DOMICÍLIO,2,2,26,30,5,2018
DANO,15,7,53,75,5,2018
ESTUPRO CONSUMADO,5,13,22,40,5,2018
ESTUPRO TENTADO,0,1,1,2,5,2018
ESTUPRO DE VULNERÁVEL,13,12,24,49,5,2018
OUTROS C/C/ DIGNIDADE SEXUAL,4,0,2,6,5,2018
HOMICÍDIO DOLOSO,15,1,10,26,4,2018
HOMICÍDIO CULPOSO,0,0,0,0,4,2018
TENTATIVA DE HOMICÍDIO,1,3,6,10,4,2018
LESÃO CORPORAL DOLOSA,730,736,2648,4114,4,2018
MAUS TRATOS,1,5,22,28,4,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,273,214,603,1090,4,2018
CONSTRANGIMENTO ILEGAL,1,0,7,8,4,2018
AMEAÇA,745,843,3227,4815,4,2018
INVASÃO DE DOMICÍLIO,1,7,24,32,4,2018
DANO,10,8,58,76,4,2018
ESTUPRO CONSUMADO,12,8,19,39,4,2018
ESTUPRO TENTADO,5,0,3,8,4,2018
ESTUPRO DE VULNERÁVEL,6,9,23,38,4,2018
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,4,5,4,2018
HOMICÍDIO DOLOSO,2,0,7,9,3,2018
HOMICÍDIO CULPOSO,0,0,0,0,3,2018
TENTATIVA DE HOMICÍDIO,5,6,23,34,3,2018
LESÃO CORPORAL DOLOSA,1014,861,3098,4973,3,2018
MAUS TRATOS,2,2,24,28,3,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,239,217,695,1151,3,2018
CONSTRANGIMENTO ILEGAL,0,0,1,1,3,2018
AMEAÇA,871,967,3751,5589,3,2018
INVASÃO DE DOMICÍLIO,0,6,24,30,3,2018
DANO,9,9,61,79,3,2018
ESTUPRO CONSUMADO,8,6,29,43,3,2018
ESTUPRO TENTADO,0,0,3,3,3,2018
ESTUPRO DE VULNERÁVEL,9,7,31,47,3,2018
OUTROS C/C/ DIGNIDADE SEXUAL,10,1,2,13,3,2018
HOMICÍDIO DOLOSO,3,1,6,10,2,2018
HOMICÍDIO CULPOSO,0,0,0,0,2,2018
TENTATIVA DE HOMICÍDIO,1,3,13,17,2,2018
LESÃO CORPORAL DOLOSA,845,716,2662,4223,2,2018
MAUS TRATOS,1,2,15,18,2,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,259,190,531,980,2,2018
CONSTRANGIMENTO ILEGAL,0,0,2,2,2,2018
AMEAÇA,669,754,3051,4474,2,2018
INVASÃO DE DOMICÍLIO,2,4,18,24,2,2018
DANO,9,12,42,63,2,2018
ESTUPRO CONSUMADO,17,10,29,56,2,2018
ESTUPRO TENTADO,0,0,1,1,2,2018
ESTUPRO DE VULNERÁVEL,4,8,29,41,2,2018
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,2,2018
HOMICÍDIO DOLOSO,0,3,2,5,1,2018
HOMICÍDIO CULPOSO,0,0,0,0,1,2018
TENTATIVA DE HOMICÍDIO,4,1,16,21,1,2018
LESÃO CORPORAL DOLOSA,926,883,2991,4800,1,2018
MAUS TRATOS,2,1,28,31,1,2018
CALÚNIA - DIFAMAÇÃO - INJÚRIA,203,204,642,1049,1,2018
CONSTRANGIMENTO ILEGAL,2,0,5,7,1,2018
AMEAÇA,773,904,3409,5086,1,2018
INVASÃO DE DOMICÍLIO,2,7,21,30,1,2018
DANO,11,11,40,62,1,2018
ESTUPRO CONSUMADO,18,16,34,68,1,2018
ESTUPRO TENTADO,0,0,2,2,1,2018
ESTUPRO DE VULNERÁVEL,7,8,34,49,1,2018
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,3,4,1,2018
HOMICÍDIO DOLOSO,1,2,3,6,12,2017
HOMICÍDIO CULPOSO,0,0,0,0,12,2017
TENTATIVA DE HOMICÍDIO,1,21,2,24,12,2017
LESÃO CORPORAL DOLOSA,902,2135,802,3839,12,2017
MAUS TRATOS,1,25,2,28,12,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,153,546,157,856,12,2017
CONSTRANGIMENTO ILEGAL,0,18,5,23,12,2017
AMEAÇA,650,3128,754,4532,12,2017
INVASÃO DE DOMICÍLIO,14,14,4,32,12,2017
DANO,4,57,3,64,12,2017
ESTUPRO CONSUMADO,17,30,8,55,12,2017
ESTUPRO TENTADO,1,6,0,7,12,2017
ESTUPRO DE VULNERÁVEL,8,24,6,38,12,2017
OUTROS C/C/ DIGNIDADE SEXUAL,2,1,0,3,12,2017
HOMICÍDIO DOLOSO,1,1,5,7,11,2017
HOMICÍDIO CULPOSO,0,0,1,1,11,2017
TENTATIVA DE HOMICÍDIO,5,1,19,25,11,2017
LESÃO CORPORAL DOLOSA,831,727,2798,4356,11,2017
MAUS TRATOS,5,3,23,31,11,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,199,186,573,958,11,2017
CONSTRANGIMENTO ILEGAL,1,0,16,17,11,2017
AMEAÇA,687,776,3116,4579,11,2017
INVASÃO DE DOMICÍLIO,0,3,21,24,11,2017
DANO,5,5,54,64,11,2017
ESTUPRO CONSUMADO,20,7,23,50,11,2017
ESTUPRO TENTADO,2,0,4,6,11,2017
ESTUPRO DE VULNERÁVEL,9,8,37,54,11,2017
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,1,3,11,2017
HOMICÍDIO DOLOSO,0,0,6,6,10,2017
HOMICÍDIO CULPOSO,0,0,0,0,10,2017
TENTATIVA DE HOMICÍDIO,1,4,24,29,10,2017
LESÃO CORPORAL DOLOSA,764,817,2987,4568,10,2017
MAUS TRATOS,3,4,26,33,10,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,288,183,676,1147,10,2017
CONSTRANGIMENTO ILEGAL,0,20,20,40,10,2017
AMEAÇA,661,950,3570,5181,10,2017
INVASÃO DE DOMICÍLIO,5,10,13,28,10,2017
DANO,7,6,59,72,10,2017
ESTUPRO CONSUMADO,10,9,27,46,10,2017
ESTUPRO TENTADO,0,0,4,4,10,2017
ESTUPRO DE VULNERÁVEL,5,8,38,51,10,2017
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,1,2,10,2017
HOMICÍDIO DOLOSO,0,0,3,3,9,2017
HOMICÍDIO CULPOSO,0,0,0,0,9,2017
TENTATIVA DE HOMICÍDIO,1,7,23,31,9,2017
LESÃO CORPORAL DOLOSA,810,736,2625,4171,9,2017
MAUS TRATOS,4,5,25,34,9,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,210,168,618,996,9,2017
CONSTRANGIMENTO ILEGAL,4,0,4,8,9,2017
AMEAÇA,622,796,3114,4532,9,2017
INVASÃO DE DOMICÍLIO,1,4,11,16,9,2017
DANO,10,4,74,88,9,2017
ESTUPRO CONSUMADO,4,10,25,39,9,2017
ESTUPRO TENTADO,0,0,4,4,9,2017
ESTUPRO DE VULNERÁVEL,6,13,34,53,9,2017
OUTROS C/C/ DIGNIDADE SEXUAL,4,0,4,8,9,2017
HOMICÍDIO DOLOSO,2,1,9,12,8,2017
HOMICÍDIO CULPOSO,0,0,0,0,8,2017
TENTATIVA DE HOMICÍDIO,0,1,18,19,8,2017
LESÃO CORPORAL DOLOSA,922,794,2503,4219,8,2017
MAUS TRATOS,0,1,18,19,8,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,265,178,632,1075,8,2017
CONSTRANGIMENTO ILEGAL,2,1,8,11,8,2017
AMEAÇA,612,917,3182,4711,8,2017
INVASÃO DE DOMICÍLIO,0,0,20,20,8,2017
DANO,11,5,48,64,8,2017
ESTUPRO CONSUMADO,13,9,27,49,8,2017
ESTUPRO TENTADO,0,2,4,6,8,2017
ESTUPRO DE VULNERÁVEL,5,6,25,36,8,2017
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,2,3,8,2017
HOMICÍDIO DOLOSO,1,2,5,8,7,2017
HOMICÍDIO CULPOSO,0,0,0,0,7,2017
TENTATIVA DE HOMICÍDIO,2,1,16,19,7,2017
LESÃO CORPORAL DOLOSA,697,693,2322,3712,7,2017
MAUS TRATOS,1,1,11,13,7,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,173,179,603,955,7,2017
CONSTRANGIMENTO ILEGAL,0,11,8,19,7,2017
AMEAÇA,583,786,2970,4339,7,2017
INVASÃO DE DOMICÍLIO,4,8,14,26,7,2017
DANO,10,9,53,72,7,2017
ESTUPRO CONSUMADO,7,11,12,30,7,2017
ESTUPRO TENTADO,0,0,2,2,7,2017
ESTUPRO DE VULNERÁVEL,8,7,21,36,7,2017
OUTROS C/C/ DIGNIDADE SEXUAL,2,3,3,8,7,2017
HOMICÍDIO DOLOSO,0,2,2,4,6,2017
HOMICÍDIO CULPOSO,0,0,0,0,6,2017
TENTATIVA DE HOMICÍDIO,1,1,12,14,6,2017
LESÃO CORPORAL DOLOSA,679,769,2467,3915,6,2017
MAUS TRATOS,0,3,22,25,6,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,175,176,602,953,6,2017
CONSTRANGIMENTO ILEGAL,13,3,5,21,6,2017
AMEAÇA,613,832,3003,4448,6,2017
INVASÃO DE DOMICÍLIO,3,5,10,18,6,2017
DANO,7,2,55,64,6,2017
ESTUPRO CONSUMADO,11,6,17,34,6,2017
ESTUPRO TENTADO,0,0,0,0,6,2017
ESTUPRO DE VULNERÁVEL,5,3,26,34,6,2017
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,0,0,6,2017
HOMICÍDIO DOLOSO,1,2,6,9,5,2017
HOMICÍDIO CULPOSO,0,0,0,0,5,2017
TENTATIVA DE HOMICÍDIO,5,7,18,30,5,2017
LESÃO CORPORAL DOLOSA,622,740,2700,4062,5,2017
MAUS TRATOS,1,5,28,34,5,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,286,190,658,1134,5,2017
CONSTRANGIMENTO ILEGAL,1,2,5,8,5,2017
AMEAÇA,614,865,3304,4783,5,2017
INVASÃO DE DOMICÍLIO,0,11,31,42,5,2017
DANO,8,8,48,64,5,2017
ESTUPRO CONSUMADO,16,7,21,44,5,2017
ESTUPRO TENTADO,1,1,3,5,5,2017
ESTUPRO DE VULNERÁVEL,11,9,26,46,5,2017
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,5,2017
HOMICÍDIO DOLOSO,1,2,0,3,4,2017
HOMICÍDIO CULPOSO,1,0,0,1,4,2017
TENTATIVA DE HOMICÍDIO,3,5,7,15,4,2017
LESÃO CORPORAL DOLOSA,784,828,2623,4235,4,2017
MAUS TRATOS,2,7,18,27,4,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,281,192,632,1105,4,2017
CONSTRANGIMENTO ILEGAL,1,1,4,6,4,2017
AMEAÇA,700,809,3054,4563,4,2017
INVASÃO DE DOMICÍLIO,1,5,13,19,4,2017
DANO,5,6,65,76,4,2017
ESTUPRO CONSUMADO,8,10,20,38,4,2017
ESTUPRO TENTADO,0,0,3,3,4,2017
ESTUPRO DE VULNERÁVEL,4,5,32,41,4,2017
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,3,4,4,2017
HOMICÍDIO DOLOSO,1,3,7,11,3,2017
HOMICÍDIO CULPOSO,0,0,1,1,3,2017
TENTATIVA DE HOMICÍDIO,7,2,18,27,3,2017
LESÃO CORPORAL DOLOSA,825,844,3176,4845,3,2017
MAUS TRATOS,2,2,23,27,3,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,343,237,768,1348,3,2017
CONSTRANGIMENTO ILEGAL,0,4,4,8,3,2017
AMEAÇA,859,982,3873,5714,3,2017
INVASÃO DE DOMICÍLIO,2,5,19,26,3,2017
DANO,8,11,48,67,3,2017
ESTUPRO CONSUMADO,8,5,22,35,3,2017
ESTUPRO TENTADO,0,0,2,2,3,2017
ESTUPRO DE VULNERÁVEL,9,5,24,38,3,2017
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,3,4,3,2017
HOMICÍDIO DOLOSO,3,1,1,5,2,2017
HOMICÍDIO CULPOSO,0,0,0,0,2,2017
TENTATIVA DE HOMICÍDIO,2,6,19,27,2,2017
LESÃO CORPORAL DOLOSA,675,806,2690,4171,2,2017
MAUS TRATOS,3,4,17,24,2,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,225,155,697,1077,2,2017
CONSTRANGIMENTO ILEGAL,2,1,4,7,2,2017
AMEAÇA,593,851,3230,4674,2,2017
INVASÃO DE DOMICÍLIO,0,11,21,32,2,2017
DANO,7,10,54,71,2,2017
ESTUPRO CONSUMADO,10,11,24,45,2,2017
ESTUPRO TENTADO,0,1,6,7,2,2017
ESTUPRO DE VULNERÁVEL,3,2,16,21,2,2017
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,3,4,2,2017
HOMICÍDIO DOLOSO,2,4,5,11,1,2017
HOMICÍDIO CULPOSO,0,0,2,2,1,2017
TENTATIVA DE HOMICÍDIO,6,4,12,22,1,2017
LESÃO CORPORAL DOLOSA,753,771,3048,4572,1,2017
MAUS TRATOS,5,3,26,34,1,2017
CALÚNIA - DIFAMAÇÃO - INJÚRIA,261,142,743,1146,1,2017
CONSTRANGIMENTO ILEGAL,1,0,6,7,1,2017
AMEAÇA,844,876,3732,5452,1,2017
INVASÃO DE DOMICÍLIO,1,4,15,20,1,2017
DANO,9,5,65,79,1,2017
ESTUPRO CONSUMADO,16,6,29,51,1,2017
ESTUPRO TENTADO,1,1,4,6,1,2017
ESTUPRO DE VULNERÁVEL,7,2,13,22,1,2017
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,7,9,1,2017
HOMICÍDIO DOLOSO,1,0,6,7,12,2016
HOMICÍDIO CULPOSO,0,0,0,0,12,2016
TENTATIVA DE HOMICÍDIO,6,6,16,28,12,2016
LESÃO CORPORAL DOLOSA,640,831,3123,4594,12,2016
MAUS TRATOS,3,1,19,23,12,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,314,187,701,1202,12,2016
CONSTRANGIMENTO ILEGAL,0,0,55,55,12,2016
AMEAÇA,663,717,3369,4749,12,2016
INVASÃO DE DOMICÍLIO,3,1,19,23,12,2016
DANO,7,15,65,87,12,2016
ESTUPRO CONSUMADO,4,7,23,34,12,2016
ESTUPRO TENTADO,0,3,3,6,12,2016
ESTUPRO DE VULNERÁVEL,7,6,13,26,12,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,12,2016
HOMICÍDIO DOLOSO,3,1,5,9,11,2016
HOMICÍDIO CULPOSO,0,0,0,0,11,2016
TENTATIVA DE HOMICÍDIO,3,4,16,23,11,2016
LESÃO CORPORAL DOLOSA,859,720,2998,4577,11,2016
MAUS TRATOS,4,2,22,28,11,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,298,206,701,1205,11,2016
CONSTRANGIMENTO ILEGAL,0,0,37,37,11,2016
AMEAÇA,827,822,3161,4810,11,2016
INVASÃO DE DOMICÍLIO,3,1,14,18,11,2016
DANO,13,10,48,71,11,2016
ESTUPRO CONSUMADO,6,3,20,29,11,2016
ESTUPRO TENTADO,0,0,1,1,11,2016
ESTUPRO DE VULNERÁVEL,5,6,23,34,11,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,1,2,11,2016
HOMICÍDIO DOLOSO,3,1,6,10,10,2016
HOMICÍDIO CULPOSO,0,0,0,0,10,2016
TENTATIVA DE HOMICÍDIO,3,6,18,27,10,2016
LESÃO CORPORAL DOLOSA,880,863,2932,4675,10,2016
MAUS TRATOS,1,6,18,25,10,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,278,182,658,1118,10,2016
CONSTRANGIMENTO ILEGAL,1,14,2,17,10,2016
AMEAÇA,803,930,3261,4994,10,2016
INVASÃO DE DOMICÍLIO,4,3,14,21,10,2016
DANO,8,12,60,80,10,2016
ESTUPRO CONSUMADO,6,2,10,18,10,2016
ESTUPRO TENTADO,3,0,1,4,10,2016
ESTUPRO DE VULNERÁVEL,10,11,26,47,10,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,0,0,10,2016
HOMICÍDIO DOLOSO,1,1,7,9,9,2016
HOMICÍDIO CULPOSO,0,0,0,0,9,2016
TENTATIVA DE HOMICÍDIO,4,2,18,24,9,2016
LESÃO CORPORAL DOLOSA,808,721,2595,4124,9,2016
MAUS TRATOS,4,6,22,32,9,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,266,176,657,1099,9,2016
CONSTRANGIMENTO ILEGAL,0,0,3,3,9,2016
AMEAÇA,737,762,3369,4868,9,2016
INVASÃO DE DOMICÍLIO,0,2,15,17,9,2016
DANO,14,12,57,83,9,2016
ESTUPRO CONSUMADO,14,8,12,34,9,2016
ESTUPRO TENTADO,0,0,2,2,9,2016
ESTUPRO DE VULNERÁVEL,2,6,14,22,9,2016
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,3,5,9,2016
HOMICÍDIO DOLOSO,1,1,5,7,8,2016
HOMICÍDIO CULPOSO,1,0,0,1,8,2016
TENTATIVA DE HOMICÍDIO,3,3,13,19,8,2016
LESÃO CORPORAL DOLOSA,826,820,2753,4399,8,2016
MAUS TRATOS,1,9,29,39,8,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,325,221,721,1267,8,2016
CONSTRANGIMENTO ILEGAL,1,0,5,6,8,2016
AMEAÇA,781,843,3330,4954,8,2016
INVASÃO DE DOMICÍLIO,0,4,29,33,8,2016
DANO,9,9,60,78,8,2016
ESTUPRO CONSUMADO,17,14,15,46,8,2016
ESTUPRO TENTADO,0,0,1,1,8,2016
ESTUPRO DE VULNERÁVEL,8,4,20,32,8,2016
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,2,3,8,2016
HOMICÍDIO DOLOSO,2,0,4,6,7,2016
HOMICÍDIO CULPOSO,0,0,0,0,7,2016
TENTATIVA DE HOMICÍDIO,4,2,22,28,7,2016
LESÃO CORPORAL DOLOSA,670,708,2334,3712,7,2016
MAUS TRATOS,1,4,23,28,7,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,154,211,647,1012,7,2016
CONSTRANGIMENTO ILEGAL,3,1,6,10,7,2016
AMEAÇA,672,781,3120,4573,7,2016
INVASÃO DE DOMICÍLIO,0,2,9,11,7,2016
DANO,12,9,57,78,7,2016
ESTUPRO CONSUMADO,12,1,23,36,7,2016
ESTUPRO TENTADO,0,0,2,2,7,2016
ESTUPRO DE VULNERÁVEL,9,2,11,22,7,2016
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,4,5,7,2016
HOMICÍDIO DOLOSO,2,0,2,4,6,2016
HOMICÍDIO CULPOSO,0,0,0,0,6,2016
TENTATIVA DE HOMICÍDIO,0,2,12,14,6,2016
LESÃO CORPORAL DOLOSA,621,662,2242,3525,6,2016
MAUS TRATOS,2,5,17,24,6,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,252,238,647,1137,6,2016
CONSTRANGIMENTO ILEGAL,0,0,12,12,6,2016
AMEAÇA,739,750,3077,4566,6,2016
INVASÃO DE DOMICÍLIO,3,16,13,32,6,2016
DANO,10,15,56,81,6,2016
ESTUPRO CONSUMADO,14,10,20,44,6,2016
ESTUPRO TENTADO,0,2,1,3,6,2016
ESTUPRO DE VULNERÁVEL,12,6,33,51,6,2016
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,2,3,6,2016
HOMICÍDIO DOLOSO,1,2,3,6,5,2016
HOMICÍDIO CULPOSO,0,0,0,0,5,2016
TENTATIVA DE HOMICÍDIO,4,3,14,21,5,2016
LESÃO CORPORAL DOLOSA,662,696,2486,3844,5,2016
MAUS TRATOS,2,5,25,32,5,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,233,241,654,1128,5,2016
CONSTRANGIMENTO ILEGAL,1,0,2,3,5,2016
AMEAÇA,695,794,3105,4594,5,2016
INVASÃO DE DOMICÍLIO,0,2,20,22,5,2016
DANO,9,10,52,71,5,2016
ESTUPRO CONSUMADO,5,6,13,24,5,2016
ESTUPRO TENTADO,0,1,1,2,5,2016
ESTUPRO DE VULNERÁVEL,8,11,13,32,5,2016
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,1,1,5,2016
HOMICÍDIO DOLOSO,4,0,4,8,4,2016
HOMICÍDIO CULPOSO,0,0,1,1,4,2016
TENTATIVA DE HOMICÍDIO,2,5,16,23,4,2016
LESÃO CORPORAL DOLOSA,888,892,2945,4725,4,2016
MAUS TRATOS,1,1,17,19,4,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,266,248,715,1229,4,2016
CONSTRANGIMENTO ILEGAL,2,2,4,8,4,2016
AMEAÇA,880,828,3486,5194,4,2016
INVASÃO DE DOMICÍLIO,0,2,14,16,4,2016
DANO,12,12,57,81,4,2016
ESTUPRO CONSUMADO,9,9,20,38,4,2016
ESTUPRO TENTADO,0,1,3,4,4,2016
ESTUPRO DE VULNERÁVEL,7,10,23,40,4,2016
OUTROS C/C/ DIGNIDADE SEXUAL,3,0,2,5,4,2016
HOMICÍDIO DOLOSO,0,0,5,5,3,2016
HOMICÍDIO CULPOSO,0,0,0,0,3,2016
TENTATIVA DE HOMICÍDIO,6,6,24,36,3,2016
LESÃO CORPORAL DOLOSA,947,855,3056,4858,3,2016
MAUS TRATOS,5,5,30,40,3,2016
CALÚNIA - DIFAMAÇÃO - INJÚRIA,293,227,913,1433,3,2016
CONSTRANGIMENTO ILEGAL,18,1,7,26,3,2016
AMEAÇA,958,857,3799,5614,3,2016
